entry,order_root,simplicity_root,atlas_order_lines,atlas_simplicity_lines,atlas_overlap_lines,atlas_union_lines
C_p,Atlas.Families.Cyclic.card,Atlas.Families.Cyclic.isSimpleGroup,5,12,5,12
A_n,Atlas.Families.Alternating.card_factorial,Atlas.Families.Alternating.isSimpleGroup,4,4,1,7
PSL_n(q),Atlas.card_psl_factor,Atlas.psl_simple_iff,168,322,111,379
B_n(q),Atlas.Orthogonal.B_card_all_rank,Atlas.Orthogonal.B_simple_iff_all_rank,4121,7898,4010,8009
C_n(q),Atlas.Symplectic.card_psp,Atlas.Symplectic.simple_iff_good,708,2203,708,2203
D_n^+(q),Atlas.Orthogonal.DPlus_card,Atlas.Orthogonal.DPlus_simple,4290,2466,1348,5408
G2(q),Atlas.G2.card_Model,Atlas.G2.isSimple_iff,1237,3287,956,3568
^2G2(q),Atlas.ReeG2.order,Atlas.ReeG2.simple,1570,2225,1545,2250
M11,Atlas.Sporadic.Mathieu11.card,Atlas.Sporadic.Mathieu11.isSimpleGroup,5479,5866,5477,5868
M12,Atlas.Sporadic.Mathieu12.card,Atlas.Sporadic.Mathieu12.isSimpleGroup,4924,5959,4922,5961
M22,Atlas.Sporadic.Mathieu22.card,Atlas.Sporadic.Mathieu22.isSimpleGroup,4183,5348,4180,5351
M23,Atlas.Sporadic.Mathieu23.card,Atlas.Sporadic.Mathieu23.isSimpleGroup,4119,4492,4116,4495
M24,Atlas.Sporadic.Mathieu24.card,Atlas.Sporadic.Mathieu24.isSimpleGroup,3477,4582,3474,4585
Co1,Atlas.Sporadic.Conway1.card,Atlas.Sporadic.Conway1.isSimpleGroup,10826,12334,10814,12346
Co2,Atlas.Sporadic.Conway2.card,Atlas.Sporadic.Conway2.isSimpleGroup,10825,14070,10823,14072
Co3,Atlas.Sporadic.Conway3.card,Atlas.Sporadic.Conway3.isSimpleGroup,12137,16423,12137,16423
McL,Atlas.Sporadic.McLaughlin.card,Atlas.Sporadic.McLaughlin.isSimpleGroup,13704,16375,13702,16377
HS,Atlas.Sporadic.HigmanSims.card,Atlas.Sporadic.HigmanSims.isSimpleGroup,13447,14771,13442,14776
Suz,Atlas.Sporadic.Suzuki.card,Atlas.Sporadic.Suzuki.isSimpleGroup,19727,21320,19673,21374
J2,Atlas.Sporadic.Janko2.card,Atlas.Sporadic.Janko2.isSimpleGroup,6989,7954,6759,8184
Fi22,Atlas.Sporadic.Fischer22.card,Atlas.Sporadic.Fischer22.simple,31955,34248,31953,34250
Fi23,Atlas.Sporadic.Fischer23.card,Atlas.Sporadic.Fischer23.simple,31950,34247,31948,34249
Fi24',Atlas.Sporadic.Fischer24Prime.card,Atlas.Sporadic.Fischer24Prime.simple,31813,33396,31812,33397
